Rides,Bus,Scenarios,Objective Value,Savings,Time,Gap
3,2,10,63.821562199721996,,0.2033519744873047,0.0
4,2,10,54.19065761391702,,0.9685940742492676,0.0
5,2,10,70.5099788037702,,3.42209529876709,0.0
6,2,10,65.31932118985355,,8.499874830245972,0.0
7,2,10,106.76821977674842,,110.48537349700928,0.0
9,3,10,107.2802661113576,,2711.552667617798,0.0
10,3,10,93.83020890611996,,3173.7754793167114,0.0
11,3,10,114.24369363077842,,18000.917572021484,0.12838401405450114
13,4,10,131.22483372090522,,18002.716112613678,0.27785062565658214
15,4,10,287.21266821268364,,18003.56548166275,0.6842486383273295
18,5,10,562.8827405199927,,18003.52977991104,0.837511060323286
20,5,10,718.4421779663509,,18004.348428726196,0.8593083606357146
22,6,10,inf,,18008.0688021183,inf
24,6,10,inf,,18007.36794900894,inf
25,7,10,inf,,18010.315757989883,inf
27,8,10,inf,,18021.20876431465,inf
3,2,20,63.821562199721996,,1.4688351154327393,0.0
4,2,20,54.19065761391702,,4.701478958129883,0.0
5,2,20,70.5099788037702,,15.312703609466553,0.0
6,2,20,65.31932118985355,,26.64107871055603,0.0
7,2,20,106.76821977674842,,218.5813672542572,0.0
9,3,20,107.2802661113576,,4448.845317840576,0.0
10,3,20,93.83020890611996,,3699.481106042862,0.0
11,3,20,114.24369363077842,,18001.602752685547,0.14203671983631125
13,4,20,131.22483372090522,,18001.92241835594,0.27909035005778665
15,4,20,302.57402583297693,,18003.503227233887,0.7018959529159127
18,5,20,562.8827405199927,,18005.048577070236,0.8387287790466008
20,5,20,893.1486620950609,,18005.83068561554,0.8868795370781245
22,6,20,inf,,18007.59748697281,inf
24,6,20,inf,,18009.169637918472,inf
25,7,20,inf,,18006.923232078552,inf
27,8,20,inf,,18009.583057641983,inf
3,2,30,63.821562199721996,,0.5312414169311523,0.0
4,2,30,54.19065761391702,,2.1562178134918213,0.0
5,2,30,70.5099788037702,,6.937380313873291,0.0
6,2,30,65.31932118985355,,13.812278270721436,0.0
7,2,30,106.76821977674842,,141.63839101791382,0.0
9,3,30,107.2802661113576,,2785.0495612621307,0.0
10,3,30,93.83020890611996,,2462.82000041008,0.0
11,3,30,114.24369363077842,,18000.717505693436,0.12295695691113007
13,4,30,131.22483372090522,,18001.26783680916,0.2736853228648247
15,4,30,287.21266821268364,,18001.664504289627,0.6837006395752728
18,5,30,562.8827405199927,,18002.84726023674,0.8378364613853102
20,5,30,718.4421779663509,,18005.640949249268,0.8593083606357146
22,6,30,inf,,18006.00741004944,inf
24,6,30,inf,,18010.94772553444,inf
25,7,30,inf,,18009.4824051857,inf
27,8,30,inf,,18016.65233707428,inf
