Rides,Bus,Scenarios,Objective Value,Savings,Time,Gap
3,2,10,-390.8153777054355,-18.124906460194605,16.109103441238403,0.0
4,2,10,46.024117939220844,-9.26592867957595,216.42386507987976,0.0
5,2,10,56.335642838108356,-98.94282069927442,18006.5201048851,11.268538562471148
6,2,10,88.4431695994474,-163.2176786997209,18015.521850824356,13.249305556906226
7,2,10,126.30097286213484,-51.345800425259405,18039.032160282135,20.661726753247745
9,3,10,208.03357520017676,-109.20074136018084,18016.055906534195,25.527674337807287
10,3,10,214.5213730159886,-442.26035180779843,23505.911406993866,21.101685477265857
11,3,10,549.1757906829794,-320.9277161005062,39962.62987804413,19.071749437255825
13,4,10,inf,-474.28141153445983,30663.82109928131,inf
15,4,10,inf,-401.11095373629104,27185.76357626915,inf
18,5,10,inf,-387.2943725771419,90576.31590867043,inf
3,2,20,-501.03770154029496,-51.79876598377126,81.57934761047363,0.0
4,2,20,47.61363629448106,-7.965928679575951,1193.0328645706177,0.0
5,2,20,68.17721988828008,-68.07161731713985,18013.460552453995,12.321237656594834
6,2,20,89.95195604166733,-51.92290325669598,18022.919161319733,17.591987808168934
7,2,20,175.610498987367,-186.21927576328446,18029.287955522537,11.992525523195962
9,3,20,252.05874156858752,-269.43623649133065,18029.61857509613,16.655499604987106
10,3,20,193.32631389258046,-547.5743436543092,21223.099940538406,51.36489667927956
